2025-03-27 05:53:34 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 79ms
2025-03-27 09:07:04 [WARN]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 401 | Duration: 1ms
2025-03-27 09:07:04 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 3ms
2025-03-27 09:07:04 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 389ms
2025-03-27 09:08:29 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 81ms
2025-03-27 09:09:11 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 85ms
2025-03-27 09:09:20 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 89ms
2025-03-27 09:09:20 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 375ms
2025-03-27 09:16:42 [WARN]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 401 | Duration: 2ms
2025-03-27 09:16:42 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 6ms
2025-03-27 09:16:42 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 67ms
2025-03-27 10:30:32 [WARN]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 401 | Duration: 1ms
2025-03-27 10:30:32 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 5ms
2025-03-27 10:30:32 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 83ms
2025-03-27 10:37:34 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 401 | Duration: 3ms
2025-03-27 10:37:34 [WARN]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 401 | Duration: 2ms
2025-03-27 10:37:34 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 7ms
2025-03-27 10:37:34 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 8ms
2025-03-27 10:37:34 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 70ms
2025-03-27 10:37:34 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 82ms
2025-03-27 10:40:27 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 133ms
2025-03-27 10:40:28 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 39ms
2025-03-27 10:40:29 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 110ms
2025-03-27 10:40:30 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 36ms
2025-03-27 10:40:34 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 41ms
2025-03-27 11:28:17 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 401 | Duration: 8ms
2025-03-27 11:28:17 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 76ms
2025-03-27 11:28:17 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 25ms
2025-03-27 11:28:18 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 108ms
2025-03-27 11:28:35 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 40ms
2025-03-27 11:28:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 76ms
2025-03-27 11:29:08 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 39ms
2025-03-27 11:29:09 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 127ms
2025-03-27 11:29:10 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 40ms
2025-03-27 11:29:21 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 72ms
2025-03-27 11:29:29 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 40ms
2025-03-27 11:31:53 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 44ms
2025-03-27 12:42:33 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 378ms
2025-03-27 12:42:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 38ms
2025-03-27 12:42:36 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 401 | Duration: 1ms
2025-03-27 12:42:36 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 4ms
2025-03-27 12:42:36 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 113ms
2025-03-27 12:42:42 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 36ms
2025-03-27 12:43:59 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 74ms
2025-03-27 12:44:00 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 612ms
2025-03-27 12:44:41 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 39ms
2025-03-27 12:44:42 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 106ms
2025-03-27 12:44:43 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 35ms
2025-03-27 12:44:49 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 42ms
2025-03-27 12:44:49 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 70ms
2025-03-27 12:45:10 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 110ms
2025-03-27 12:45:19 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 35ms
2025-03-27 12:45:25 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 106ms
2025-03-27 12:45:33 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 36ms
2025-03-27 12:45:35 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 106ms
2025-03-27 12:45:50 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 40ms
2025-03-27 12:46:43 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 37ms
2025-03-27 12:46:53 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 38ms
2025-03-27 12:46:57 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 105ms
2025-03-27 12:47:09 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 106ms
2025-03-27 12:47:14 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 36ms
2025-03-27 12:47:22 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 107ms
2025-03-27 12:47:23 [INFO]: Request: GET /users/bookings/67b876bffdfa50ef998bf84c | Response: 304 | Duration: 79ms
2025-03-27 12:47:37 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 401 | Duration: 2ms
2025-03-27 12:47:37 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 6ms
2025-03-27 12:47:37 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 304 | Duration: 76ms
2025-03-27 12:49:32 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 304 | Duration: 73ms
2025-03-27 12:49:54 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 304 | Duration: 72ms
2025-03-27 12:49:58 [INFO]: Request: GET /users/addresses/67b840880b66faa196b932de | Response: 200 | Duration: 86ms
2025-03-27 12:50:24 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/notifications/count | Response: 304 | Duration: 72ms
2025-03-27 12:50:24 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 304 | Duration: 72ms
2025-03-27 12:53:38 [WARN]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 401 | Duration: 4ms
2025-03-27 12:53:38 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 7ms
2025-03-27 12:53:38 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 304 | Duration: 73ms
2025-03-27 12:53:42 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 147ms
2025-03-27 12:53:43 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/bookings?page=1 | Response: 304 | Duration: 108ms
2025-03-27 12:53:44 [INFO]: Request: GET /providers/services | Response: 304 | Duration: 36ms
2025-03-27 12:53:46 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/addresses | Response: 304 | Duration: 72ms
2025-03-27 12:55:20 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 36ms
